农林牧渔,1
产品价格,2
农产品批发价格指数（农业部）,3
前海农产品批发价格指数（日）,3
山东价格指数,3
广东价格指数,3
食用农产品价格指数（商务部）（周）,3
主要农副食品平均价,3
主要禽畜产品价格（1）（日）,3
主要禽畜产品价格（2）（日）,3
白糖和食用菌价格（日）,3
棉花价格,3
原粮购销价格（1）（日）,3
原粮购销价格（2）（日）,3
农产品进口价,3
农产品现货价,3
农产品期货价,3
农产品国际现货价,3
国内现货商品电子交易统计（日）,3
商务预报：农副产品价格百家日报：粮油（日）,3
商务预报：农副产品价格百家日报：肉类（日）,3
商务预报：农副产品价格百家日报：禽蛋（日）,3
商务预报：农副产品价格百家日报：蔬菜（1）（日）,3
商务预报：农副产品价格百家日报：蔬菜（2）（日）,3
商务预报：农副产品价格百家日报：蔬菜（3）（日）,3
商务预报：农副产品价格百家日报：蔬菜（4）（日）,3
商务预报：农副产品价格百家日报：蔬菜（5）（日）,3
商务预报：农副产品价格百家日报：蔬菜（6）（日）,3
生猪价格预警（周）,3
鱼粉价格（周）,3
粮油价格,3
主要蔬菜和水果产品价格,3
主要禽畜和水产品价格,3
中国寿光蔬菜价格指数（周）,3
北京新发地农副产品批发市场：农副产品批发价（周）,3
北京锦绣大地玉泉路粮油批发市场：粮油批发价（周）,3
浙江嘉兴金丰果品有限公司：水果批发价（周）,3
山东威海水产品批发市场：水产品批发价（周）,3
四川泸州仔猪批发市场：禽畜批发价（周）,3
36个大中城市居民食品零售价（月）,3
农产品国内现货价（周）,3
国际大米价格（月）,3
粮食收购价（月）,3
农业生产资料价格（月）,3
农产品集贸市场价格指数（月）,3
粮油预期指数（季）,3
农产品生产价格指数（季）,3
农产品生产价格指数（年）,3
农产品生产价格指数：总指数：分地区（年）,3
农产品生产价格指数：种植业产品：分地区（年）,3
农产品生产价格指数：林业产品：分地区（年）,3
农产品生产价格指数：畜牧业产品：分地区（年）,3
农产品生产价格指数：渔业产品：分地区（年）,3
农产品生产价格指数：总指数：分地区（季）,3
农产品生产价格指数：种植业产品：分地区（季）,3
农产品生产价格指数：谷物：分地区（季）,3
农产品生产价格指数：豆类和薯类：分地区（季）,3
农产品生产价格指数：油料、棉花、糖料：分地区（季）,3
农产品生产价格指数：蔬菜、水果：分地区（季）,3
农产品生产价格指数：烟叶、茶叶：分地区（季）,3
农产品生产价格指数：林业产品：分地区（季）,3
农产品生产价格指数：畜牧业产品：分地区（季）,3
农产品生产价格指数：渔业产品：分地区（季）,3
中国木材价格指数（日）,3
中国木材价格指数（周）,3
中国木材价格指数（月）,3
生猪价格指数（季）,3
联合国粮农组织食品价格指数,3
流通环节生产资料价格指数：农林牧渔,3
海外国家畜产品价格,3
（停止）国际商品现货价,3
（停止）上海农产品中心：农产品平均价（日）,3
（停止）36个大中城市集市农副食品平均零售价（日,周）,3
（停止）200个主产县主要农产品价格,3
（停止）海外大豆出口报价（日）,3
（停止）主要农产品批发市场价格（日）,3
（停止）鲜奶价格（月）,3
产品产量和消费量,2
主要农产品压榨量和开机率,3
主要饲用农产品产量,3
主要产品产量（月）,3
地区产量：大米（月）,3
地区产量：小麦粉（月）,3
地区产量：配合饲料（月）,3
地区产量：混合饲料（月）,3
农作物总播种面积和耕地面积（年）,3
农作物种植面积：分国家及地区（年）,3
主要农产品产量（年）,3
牲畜饲养情况（年）,3
畜产品产量（年）,3
水产品产量（年）,3
禽畜引种量（年）,3
花卉产销和种植面积,3
农产品供需平衡表（年）,3
ICAC棉花供需报告（年）,3
政策粮拍卖与成交数据,3
政策粮收购量（年）,3
主要农产品人均占有量（年）,3
我国农业主要产品产量居世界位次（年）,3
化肥施用量：分地区（年）,3
化肥施用量：分国家及地区（年）,3
农资使用量：分地区（年）,3
农业生产情况（年）,3
转基因作物种植面积（年）,3
转基因作物种植面积：分国家及地区（年）,3
转基因作物事件获批数量（年）,3
转基因作物事件获批数量：分国家及地区（年）,3
巴西甘蔗入榨量数据,3
加拿大油籽压榨数据,3
马来西亚棕榈油局产量数据,3
海外国家畜产品产量（季）,3
全球主要产品产量：分国家及地区（年）,3
全球主要海产品产量和消费量（年）,3
（停止）农村居民主要农牧产品出售量（季）,3
（停止）城镇居民家庭人均全年购买主要农产品数量（年）,3
产品产量：分地区,2
农作物播种面积及产量：北京（年）,3
农作物播种面积及产量：天津（年）,3
农作物播种面积及产量：河北（年）,3
农作物播种面积及产量：山西（年）,3
农作物播种面积及产量：内蒙古（年）,3
农作物播种面积及产量：辽宁（年）,3
农作物播种面积及产量：吉林（年）,3
农作物播种面积及产量：黑龙江（年）,3
农作物播种面积及产量：上海（年）,3
农作物播种面积及产量：江苏（年）,3
农作物播种面积及产量：浙江（年）,3
农作物播种面积及产量：安徽（年）,3
农作物播种面积及产量：福建（年）,3
农作物播种面积及产量：江西（年）,3
农作物播种面积及产量：山东（年）,3
农作物播种面积及产量：河南（年）,3
农作物播种面积及产量：湖北（年）,3
农作物播种面积及产量：湖南（年）,3
农作物播种面积及产量：广东（年）,3
农作物播种面积及产量：广西（年）,3
农作物播种面积及产量：海南（年）,3
农作物播种面积及产量：重庆（年）,3
农作物播种面积及产量：四川（年）,3
农作物播种面积及产量：贵州（年）,3
农作物播种面积及产量：云南（年）,3
农作物播种面积及产量：西藏（年）,3
农作物播种面积及产量：陕西（年）,3
农作物播种面积及产量：甘肃（年）,3
农作物播种面积及产量：青海（年）,3
农作物播种面积及产量：宁夏（年）,3
农作物播种面积及产量：新疆（年）,3
林、畜、水产品产量：北京（年）,3
林、畜、水产品产量：天津（年）,3
林、畜、水产品产量：河北（年）,3
林、畜、水产品产量：山西（年）,3
林、畜、水产品产量：内蒙古（年）,3
林、畜、水产品产量：辽宁（年）,3
林、畜、水产品产量：吉林（年）,3
林、畜、水产品产量：黑龙江（年）,3
林、畜、水产品产量：上海（年）,3
林、畜、水产品产量：江苏（年）,3
林、畜、水产品产量：浙江（年）,3
林、畜、水产品产量：安徽（年）,3
林、畜、水产品产量：福建（年）,3
林、畜、水产品产量：江西（年）,3
林、畜、水产品产量：山东（年）,3
林、畜、水产品产量：河南（年）,3
林、畜、水产品产量：湖北（年）,3
林、畜、水产品产量：湖南（年）,3
林、畜、水产品产量：广东（年）,3
